StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Information Sheet,ID,Video Check,Identity items_1,Identity items_2,Identity items_3,Identity items_4,Identity items_5,Identity items_6,Identity items_7,Identity items_8,Identity items_9,Identity items_10,Identity items_11,Identity items_12,Identity Items_1,Identity Items_2,Identity Items_3,Identity Items_4,Identity Items_5,Identity Items_6,Identity Items_7,Identity Items_8,Identity Items_9,Identity Items_10,Identity Items_11,Identity Items_12,Identity Items_13,Immedi. Env._1,Immedi. Env._2,Immedi. Env._3,Immedi. Env._4,Immedi. Env._5,Immedi. Env._6,Immedi. Env._7,Immedi. Env._8,Immedi. Env._9,Immedi. Env._10,Prev. exp._1,Prev. exp._2,Prev. exp._3,Prev. exp._4,Prev. exp._5,Prev. exp._6,Prev. exp._7,Social Int._1,Social Int._2,Social Int._3,Social Int._4,Social Int._5,Social Int._6,Social Int._7,Social Int._8,Social Int._9,Social Int._10,Social Int._11,Social Int._12,Social Int._13,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q115_6,Q115_7,Q115_8,Q115_9,Q115_10,Q115_11,Q115_12
2024-05-16 06:47:03,2024-05-16 06:52:58,IP Address,*******,100,354,True,2024-05-16 06:52:59,R_4npfqIy9ICyns0r,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",661bb8cb21c147cd758bca7c,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
2024-05-16 06:43:31,2024-05-16 06:53:03,IP Address,*******,100,572,True,2024-05-16 06:53:03,R_7w3TjvNuDXUlUXv,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",6543ac017bea2440cff4a65e,Yes,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2024-05-16 06:46:53,2024-05-16 06:53:05,IP Address,*******,100,372,True,2024-05-16 06:53:06,R_2pk7HbGnbLJeTN7,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",63cef6c3bb9b1a1c2124168b,Yes,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2024-05-16 06:45:09,2024-05-16 06:53:25,IP Address,*******,100,495,True,2024-05-16 06:53:25,R_8QK6uXQc1wo7mJT,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5ecae16e5a125126cbb0e08b,Yes,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree
2024-05-16 06:47:02,2024-05-16 06:53:28,IP Address,*******,100,385,True,2024-05-16 06:53:28,R_84bW5D7Ll6UC75y,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",6070cfb276c26c04581246df,Yes,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
2024-05-16 06:45:51,2024-05-16 06:53:28,IP Address,*******,100,456,True,2024-05-16 06:53:28,R_8B8trpiMIv7lkfj,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",6106c205a5aed3c780d1f3ab,This was not mentioned,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
2024-05-16 06:46:26,2024-05-16 06:53:37,IP Address,*******,100,430,True,2024-05-16 06:53:37,R_2LIIS6foBqONXwZ,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5fd0c6df3988a218fdee3a13,Yes,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2024-05-16 06:46:31,2024-05-16 06:53:47,IP Address,*******,100,436,True,2024-05-16 06:53:48,R_28ByXqZXhipt14A,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",650d6e42e0e424850a2616a4,Yes,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2024-05-16 06:37:11,2024-05-16 06:53:49,IP Address,*******,100,998,True,2024-05-16 06:53:49,R_8XNLXf3d6uvhm25,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",612653989ffe25d655b29fc1,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree
2024-05-16 06:46:47,2024-05-16 06:53:56,IP Address,*******,100,428,True,2024-05-16 06:53:56,R_2ZmGVxcfUuagfmh,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",57f567ddb0aca300010a9a60,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree
2024-05-16 06:45:54,2024-05-16 06:53:58,IP Address,*******,100,483,True,2024-05-16 06:53:58,R_8ArbLirMUfziu9r,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",65092e8edccda609aca73d3d,Yes,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2024-05-16 06:46:34,2024-05-16 06:53:58,IP Address,*******,100,443,True,2024-05-16 06:53:58,R_2lFHUfPUYxuRXG7,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5c3211cd24d16c00015b1095,Yes,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2024-05-16 06:42:05,2024-05-16 06:54:05,IP Address,*******,100,719,True,2024-05-16 06:54:06,R_8hDU1ZUxENt6bBS,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",6166a0f29b892564fe31bb97,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2024-05-16 06:47:01,2024-05-16 06:54:16,IP Address,*******,100,434,True,2024-05-16 06:54:16,R_3b0N8E5lDPEitab,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5b662445d6505f0001919e5c,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree
2024-05-16 06:45:41,2024-05-16 06:54:16,IP Address,*******,100,514,True,2024-05-16 06:54:16,R_8B36wEHHZiwLeFP,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5d1d8aaf32ab4a00013fadb7,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2024-05-16 06:44:02,2024-05-16 06:54:25,IP Address,*******,100,622,True,2024-05-16 06:54:25,R_839HzSE2Cpy8QwJ,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",648f1b51ef284f51e4c4493d,Yes,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree
2024-05-16 06:44:53,2024-05-16 06:54:29,IP Address,*******,100,576,True,2024-05-16 06:54:29,R_82xL8euZJ0gh0FX,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",65a463e7a092d56a9ea83e1e,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Somewhat disagree,Strongly disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Strongly agree
2024-05-16 06:41:06,2024-05-16 06:54:30,IP Address,*******,100,804,True,2024-05-16 06:54:31,R_8I5cBm9g08ebEU3,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",61693956bcb4d353bf8ec571,Yes,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree
2024-05-16 06:46:02,2024-05-16 06:54:42,IP Address,*******,100,520,True,2024-05-16 06:54:43,R_21FCxsLg2QzJrSV,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",6155841573df9e7e0d71a709,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
2024-05-16 06:45:50,2024-05-16 06:54:44,IP Address,*******,100,533,True,2024-05-16 06:54:44,R_21LbDePffwbDO49,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",65e49c2679bb0dbaef50b26c,Yes,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
